text,isquestion
"What is your name",1
"He just bought a new car",0
"Can you pass me the salt",1
"They are having dinner at a fancy restaurant",0
"How old is your brother",1
"The cat is sleeping on the couch",0
"Do you know the way to the library",1
"She is preparing for her exam tomorrow",0
"Could you please explain this to me",1
"We are planning a trip to the mountains",0
"Where do you live",1
"He is watching a documentary about history",0
"Are you coming to the event next week",1
"She left her keys on the table",0
"Why is the sky blue",1
"They went for a walk in the evening",0
"When is the deadline for this project",1
"I just finished my workout",0
"What time is the game tonight",1
"He has been feeling tired lately",0
"Could you tell me more about the topic",1
"She is learning how to bake bread",0
"Do you want to go out for lunch",1
"He is reading a newspaper article",0
"How can I improve my presentation skills",1
"We are going to the grocery store",0
"Is there a way to fix this issue",1
"The new restaurant downtown is really popular",0
"What are your plans for the weekend",1
"She enjoys painting in her free time",0
"Can I borrow your pen for a moment",1
"He just finished writing his report",0
"Are we still meeting later today",1
"The sun is setting over the horizon",0
"Where should we meet for coffee",1
"She just started a new job",0
"Could you help me find my glasses",1
"They are hosting a barbecue this weekend",0
"Why did you choose this course",1
"He is working on his car in the garage",0
"What do you think about this movie",1
"The flowers in the garden are blooming beautifully",0
"Will you be joining us for dinner",1
"They have been traveling around the world",0
"How did you know about the event",1
"He is cleaning the house right now",0
"Is there anything I can do to help",1
"She loves playing the piano in her spare time",0
"When will you arrive at the airport",1
"They are waiting for their flight to board",0
"How can I access the online portal",1
"He is building a model airplane",0
"Could you bring me a glass of water",1
"The trees are losing their leaves as autumn approaches",0
"What are the benefits of this program",1
"She spent the whole day painting",0
"Can you tell me the time of the meeting",1
"He is playing soccer with his friends",0
"Why are they postponing the meeting again",1
"They are discussing the new company policy",0
"What would you like to do tomorrow",1
"She is preparing a special dinner for her guests",0
"Is there a reason for this delay",1
"The sky is clear and blue today",0
"How can I transfer money online",1
"He took a break from studying",0
"Why does the sun shine",1
"He left the office early today",0
"Can you meet me at the park tomorrow",1
"She is reading a new book",0
"Do you think we will finish on time",1
"It is a beautiful day outside",0
"What time does the train leave",1
"The project deadline was extended",0
"Should we order pizza for lunch",1
"They are moving to a new house next month",0
"How do I reset my password",1
"The meeting starts at noon",0
"Will the store be open later",1
"She is planning a vacation next week",0
"Do you have any recommendations for books",1
"I went grocery shopping yesterday",0
"Can you help me with my assignment",1
"The flowers in the garden are blooming",0
"What is your favorite movie",1
"He is studying for his exams",0
"Are you going to the concert this weekend",1
"She bought a new laptop last week",0
"Can we schedule the meeting for tomorrow",1
"He has been working on his presentation all day",0
"What do you think about the new policy",1
"The restaurant downtown serves great food",0
"Should I call you later",1
"She enjoys hiking in the mountains",0
"How do you feel about the changes",1
"He traveled to Europe last summer",0
"Can we meet at the coffee shop",1
"They are going to the beach next weekend",0
"Why are you leaving so early",1
"The children are playing in the park",0
"Do you agree with the decision",1
"She baked a cake for the party",0
"Is it possible to finish this project on time",1
"They adopted a puppy from the shelter",0
"How did you solve the problem",1
"I have been reading a new book recently",0
"Can you explain the reasons why we need to submit the project earlier than the initial deadline",1
"They decided to go on a road trip across the country to visit all the national parks and historical landmarks",0
"What are the benefits of using a renewable energy source compared to traditional fossil fuels in the long run",1
"He spent the entire afternoon organizing his bookshelves according to genre and author which took longer than expected",0
"How do you plan to improve the team's performance during the next quarter with the new strategies in place",1
"She enjoys spending her weekends hiking in the mountains and exploring new trails with her friends and family",0
"Why do you believe that artificial intelligence will have a significant impact on the job market in the coming decade",1
"The company announced that they will be implementing a new policy to promote a healthier work environment starting next month",0
"Could you provide a detailed explanation of how the new software system integrates with the existing infrastructure",1
"He has been working on his research paper for weeks but is still struggling to find reliable sources for his argument",0
"What are the main challenges that the organization is facing in terms of employee retention and workplace satisfaction",1
"She has been volunteering at the animal shelter for the past few months and has helped find homes for several stray animals",0
"How can we ensure that the new sustainability initiatives will be successfully implemented across all departments in the company",1
"They are planning to renovate their home by adding an extra room and remodeling the kitchen to make it more functional",0
"Do you think it is possible to complete the construction project ahead of schedule without compromising on quality or safety",1
"He has been training for the marathon for the past six months running every morning and gradually increasing his distance",0
"What factors contributed to the rapid growth of the technology sector in recent years and how will it evolve in the future",1
"She is considering applying for graduate school in the field of environmental science to further her understanding of climate change",0
"Is there any way to speed up the approval process for the budget proposal without overlooking important details",1
"They decided to spend their vacation traveling through Europe visiting several countries and experiencing different cultures",0
"How does the human brain process information differently when engaged in creative tasks versus logical problem solving",1
"He is thinking about switching careers from engineering to teaching because he wants to have a more meaningful impact on society",0
"Could you give me an estimate of how much time it will take to complete the project considering the current progress",1
"They are working on developing a new product that aims to revolutionize the market by offering a more affordable and efficient solution",0
"Why is it important to involve all stakeholders in the decision making process when implementing a new company policy",1
"She has been working late every night this week in order to finish the final draft of her novel before the publisher's deadline",0
"What steps should be taken to improve communication between different teams to ensure that projects are completed on time",1
"They just signed a contract to purchase a new home and are looking forward to moving into the neighborhood next month",0
"How does the increasing reliance on technology in education affect students ability to develop critical thinking and problem solving skills",1
"He has been saving money for years in order to buy his dream car which he plans to customize with the latest features and technology",0
"Could you explain how the changes to the tax law will affect small business owners and what they can do to minimize the impact",1
"They are planning to host a large event next summer to celebrate the company's anniversary and invite clients from around the world",0
"Why do experts believe that climate change is one of the most pressing issues facing humanity and what steps can be taken to mitigate it",1
"She has been managing multiple projects at once while also overseeing a team of new employees who are still in training",0
"What are the long term implications of the recent changes in government policies regarding healthcare and social welfare programs",1
"They are considering expanding their business into international markets in order to reach a wider audience and increase profits",0
"How do you expect the rise of automation to influence the global economy and what measures can be taken to ensure a smooth transition",1
"He is planning to write a book about his experiences traveling around the world and the lessons he learned from different cultures",0
To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,1
What is in front of the Notre Dame Main Building?,1
The Basilica of the Sacred heart at Notre Dame is beside to which structure?,1
What is the Grotto at Notre Dame?,1
What sits on top of the Main Building at Notre Dame?,1
When did the Scholastic Magazine of Notre dame begin publishing?,1
How often is Notre Dame's the Juggler published?,1
What is the daily student paper at Notre Dame called?,1
How many student news papers are found at Notre Dame?,1
In what year did the student paper Common Sense begin publication at Notre Dame?,1
Where is the headquarters of the Congregation of the Holy Cross?,1
What is the primary seminary of the Congregation of the Holy Cross?,1
What is the oldest structure at Notre Dame?,1
What individuals live at Fatima House at Notre Dame?,1
Which prize did Frederick Buechner create?,1
How many BS level degrees are offered in the College of Engineering at Notre Dame?,1
In what year was the College of Engineering at Notre Dame formed?,1
Before the creation of the College of Engineering similar studies were carried out at which Notre Dame college?,1
How many departments are within the Stinson-Remick Hall of Engineering?,1
The College of Science began to offer civil engineering courses beginning at what time at Notre Dame?,1
What entity provides help with the management of time for new students at Notre Dame?,1
How many colleges for undergraduates are at Notre Dame?,1
What was created at Notre Dame in 1962 to assist first year students?,1
"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""",1
The granting of Doctorate degrees first occurred in what year at Notre Dame?,1
What type of degree is an M.Div.?,1
Which program at Notre Dame offers a Master of Education degree?,1
In what year was a Master of Arts course first offered at Notre Dame?,1
Which department at Notre Dame is the only one to not offer a PhD program?,1
What institute at Notre Dame studies  the reasons for violent conflict?,1
What is the title of Notre Dame's Theodore Hesburgh?,1
In what year was the Joan B. Kroc Institute for International Peace Studies founded?,1
To whom was John B. Kroc married?,1
What company did Ray Kroc own?,1
How many stories tall is the main library at Notre Dame?,1
What is the name of the main library at Notre Dame?,1
In what year was the Theodore M. Hesburgh Library at Notre Dame finished?,1
Which artist created the mural on the Theodore M. Hesburgh Library?,1
